num_ratings average_rating
452 3.878319
131 3.206107
90 3.033333
209 3.550239
86 3.302326
26 3.576923
392 3.798469
219 3.995434
299 3.896321
89 3.831461
236 3.847458
267 4.385768
184 3.418478
183 3.967213
293 3.778157
39 3.205128
92 3.119565
10 2.800000
69 3.956522
72 3.416667
84 2.761905
297 4.151515
182 4.120879
174 3.448276
293 3.443686
73 3.452055
57 3.105263
276 3.931159
114 2.666667
37 3.945946
154 3.629870
81 3.790123
97 3.453608
7 2.714286
11 2.181818
13 2.153846
8 2.250000
120 3.008333
87 3.264368
57 2.894737
37 3.081081
148 3.804054
40 3.000000
79 3.341772
80 4.050000
27 3.555556
133 3.601504
117 4.094017
81 3.320988
583 4.358491
81 3.456790
91 3.769231
128 2.953125
104 3.240385
149 3.704698
394 4.060914
40 4.000000
175 3.645714
83 4.060241
64 4.015625
59 3.864407
127 3.141732
82 3.097561
283 4.445230
115 3.539130
162 3.549383
103 3.048544
134 3.417910
321 3.853583
251 3.661355
220 3.781818
129 3.193798
128 3.468750
7 3.000000
5 3.000000
54 3.407407
151 3.278146
33 2.454545
336 4.044643
68 2.764706
110 3.554545
261 3.720307
176 4.062500
18 3.000000
58 3.034483
150 3.940000
138 3.905797
213 3.539906
275 4.138182
95 3.052632
143 3.587413
104 3.615385
112 3.723214
137 3.087591
219 3.812785
295 4.006780
256 3.792969
390 4.289744
172 3.709302
508 4.155512
73 3.260274
54 3.129630
15 1.866667
5 1.400000
74 2.567568
71 2.887324
42 3.500000
65 3.076923
130 3.430769
31 2.516129
272 3.485294
20 2.450000
9 4.111111
67 4.447761
15 3.733333
125 3.824000
378 3.693122
293 3.215017
4 4.500000
67 2.238806
429 3.438228
106 2.339623
115 3.234783
187 4.053476
244 3.557377
97 3.804124
413 4.283293
65 3.538462
129 3.821705
23 2.260870
95 3.726316
246 4.077236
171 3.871345
198 4.292929
259 3.969112
105 4.123810
171 3.900585
19 2.578947
50 2.780000
61 3.213115
72 3.500000
57 3.070175
222 3.765766
243 3.872428
65 2.446154
10 2.500000
185 3.470270
128 3.203125
23 3.000000
157 3.828025
326 3.631902
82 3.634146
247 3.785425
174 3.747126
98 3.102041
148 3.986486
127 3.692913
60 2.616667
101 3.227723
69 3.463768
220 3.481818
106 3.556604
92 3.554348
151 3.589404
64 4.109375
58 4.120690
67 2.955224
316 4.066456
118 4.466102
121 4.173554
65 3.876923
367 4.204360
324 4.172840
420 4.252381
208 3.817308
284 3.947183
137 3.861314
125 4.344000
221 3.909502
221 4.045249
507 4.007890
226 3.951327
291 4.034364
116 3.431034
239 4.100418
251 3.836653
209 4.186603
170 3.682353
66 4.106061
124 4.137097
276 4.163043
116 4.120690
157 3.917197
241 4.058091
301 3.933555
251 3.916335
239 4.104603
127 4.007874
165 4.175758
206 3.825243
89 3.516854
280 3.764286
182 3.868132
350 3.834286
136 3.992647
50 3.380000
66 3.818182
200 3.945000
191 3.905759
331 3.930514
206 3.912621
92 3.456522
134 3.985075
114 3.350877
212 3.698113
290 3.910345
120 3.158333
171 3.456140
111 3.171171
66 3.363636
74 3.729730
365 3.660274
136 4.198529
44 3.704545
109 2.908257
166 3.355422
161 3.279503
244 3.815574
171 3.111111
199 3.447236
142 2.683099
101 3.207921
124 3.290323
280 3.775000
217 2.847926
45 3.622222
384 3.710938
256 3.875000
150 3.513333
156 2.788462
128 3.546875
117 3.991453
132 2.439394
48 3.166667
240 3.108333
124 3.935484
5 1.800000
160 3.675000
130 3.246154
197 3.477157
46 4.260870
158 2.943038
26 3.692308
62 2.451613
172 3.360465
16 3.562500
303 3.745875
509 3.803536
162 2.685185
127 2.574803
43 2.558140
66 3.712121
19 2.157895
101 2.742574
227 3.863436
35 2.714286
9 3.444444
255 3.792157
315 3.926984
136 3.595588
211 3.232227
198 4.262626
223 3.569507
190 3.500000
268 4.011194
298 3.697987
71 3.464789
60 3.233333
28 3.285714
85 3.188235
146 3.143836
232 3.685345
177 3.717514
193 3.160622
162 4.265432
481 3.656965
78 3.589744
478 3.441423
259 2.980695
96 3.114583
127 3.370079
114 3.666667
147 3.802721
485 3.156701
77 3.402597
6 3.333333
50 3.960000
194 3.768041
73 2.931507
431 3.631090
230 3.304348
297 4.161616
134 3.686567
149 3.536913
87 3.643678
96 3.947917
188 3.515957
30 2.966667
28 2.857143
145 3.600000
75 3.680000
80 3.162500
350 4.245714
5 1.000000
160 4.100000
112 4.196429
102 3.911765
298 4.466443
168 3.273810
20 4.050000
169 3.130178
218 3.087156
240 2.933333
125 3.136000
128 2.546875
175 3.360000
175 3.377143
295 3.423729
45 3.333333
41 3.024390
113 3.539823
143 3.461538
251 3.593625
64 3.359375
21 2.761905
43 2.627907
18 3.000000
91 2.659341
47 3.255319
189 3.587302
11 3.090909
52 2.923077
124 3.096774
55 3.654545
65 3.400000
126 3.642857
137 3.510949
27 3.296296
31 2.903226
41 3.146341
20 2.700000
26 2.115385
14 2.428571
72 3.486111
41 2.926829
97 3.381443
264 4.291667
143 2.615385
18 3.500000
10 3.200000
10 3.500000
28 2.821429
47 2.723404
37 2.675676
48 3.208333
47 3.340426
170 3.458824
31 1.903226
55 2.636364
39 2.820513
67 3.164179
34 3.529412
39 2.897436
11 2.272727
23 1.956522
24 2.833333
13 2.153846
101 3.722772
43 2.976744
116 3.336207
100 3.550000
111 3.594595
31 2.064516
69 2.782609
208 3.562500
87 2.816092
65 3.384615
28 2.392857
27 3.444444
10 3.200000
59 2.745763
68 3.544118
192 3.411458
12 3.333333
56 2.589286
54 2.814815
12 2.583333
26 2.076923
89 3.303371
18 2.722222
76 2.802632
170 3.464706
201 3.427861
101 3.673267
344 3.313953
49 2.448980
43 2.511628
112 4.491071
70 3.142857
162 3.129630
163 2.914110
93 2.397849
55 2.636364
62 3.532258
25 2.840000
64 3.484375
73 3.095890
129 3.581395
178 3.724719
81 3.666667
106 3.594340
26 2.846154
300 3.833333
19 1.315789
85 3.741176
32 2.843750
219 4.292237
121 3.818182
97 3.938144
93 4.000000
153 3.535948
174 3.770115
171 3.690058
67 3.835821
216 3.949074
99 3.535354
5 1.000000
6 1.166667
5 1.000000
14 1.642857
53 2.566038
4 1.250000
162 3.808642
46 2.717391
22 3.500000
9 2.444444
121 3.504132
85 3.388235
117 3.034188
63 2.396825
170 3.347059
66 2.666667
16 1.937500
16 2.875000
145 3.255172
48 2.312500
27 1.740741
90 3.122222
24 3.750000
28 3.000000
74 3.621622
148 3.804054
71 3.859155
27 3.592593
85 3.564706
52 3.596154
48 3.791667
64 3.312500
67 3.776119
108 3.666667
221 3.610860
158 3.082278
126 3.126984
194 4.252577
250 3.884000
160 3.018750
95 3.210526
104 4.115385
179 4.251397
179 4.284916
63 3.936508
128 3.984375
243 4.456790
138 4.210145
125 3.816000
64 3.796875
68 4.102941
65 4.200000
52 4.115385
50 4.020000
67 3.791045
59 3.864407
60 4.150000
56 4.000000
59 3.661017
231 4.121212
68 3.838235
152 4.184211
62 3.951613
31 3.903226
123 3.495935
57 3.701754
39 3.641026
122 3.819672
68 4.000000
90 3.855556
98 3.816327
215 3.595349
121 3.851240
121 3.942149
173 4.231214
57 4.000000
72 4.333333
180 3.911111
201 4.203980
63 3.968254
91 3.769231
89 3.651685
80 4.100000
124 4.104839
120 3.833333
35 3.771429
164 3.993902
46 4.021739
73 4.027397
124 3.830645
195 4.020513
121 4.132231
93 3.978495
80 4.025000
129 3.922481
22 3.318182
15 3.666667
13 3.307692
54 3.166667
10 3.300000
30 3.633333
66 3.424242
44 2.477273
43 2.511628
49 2.877551
51 2.529412
21 3.619048
71 3.154930
12 1.833333
254 3.031496
41 3.341463
12 2.166667
92 3.565217
151 3.284768
24 2.416667
45 2.866667
63 3.285714
102 2.803922
10 2.000000
12 2.500000
17 3.117647
70 3.671429
137 3.182482
22 2.727273
59 3.067797
48 3.208333
29 2.413793
27 2.037037
22 2.681818
179 3.569832
35 2.800000
230 3.647826
67 2.701493
50 3.100000
28 2.500000
29 2.758621
33 2.939394
15 2.200000
44 2.545455
93 3.021505
41 2.219512
92 3.152174
19 2.631579
32 3.375000
59 3.220339
168 3.601190
37 3.000000
79 3.544304
39 2.487179
34 2.676471
14 3.571429
202 3.792079
43 4.023256
18 2.000000
178 3.601124
9 3.333333
12 3.166667
5 2.400000
64 3.093750
127 3.377953
206 3.150485
4 2.250000
1 1.000000
2 3.000000
20 4.000000
50 3.700000
209 4.387560
81 4.012346
31 3.354839
66 4.045455
66 3.969697
30 3.933333
60 3.583333
41 3.658537
40 4.100000
34 3.941176
27 4.037037
51 3.745098
59 4.050847
64 3.421875
18 3.777778
18 3.611111
64 3.171875
43 3.093023
11 2.909091
39 3.358974
39 2.923077
22 3.272727
82 3.329268
4 3.250000
75 3.226667
169 3.514793
77 3.337662
31 3.290323
119 3.621849
58 3.896552
69 4.057971
24 3.750000
23 2.739130
91 3.241758
38 3.026316
44 3.772727
40 3.700000
82 3.024390
33 4.212121
89 3.483146
4 3.000000
35 3.771429
27 3.814815
38 3.868421
70 4.100000
67 4.029851
50 3.400000
72 3.541667
171 4.076023
90 3.888889
34 3.911765
147 4.136054
227 3.881057
44 4.000000
131 4.259542
79 3.417722
115 4.078261
153 3.764706
88 4.102273
82 3.426829
116 3.905172
46 3.543478
100 2.830000
5 2.400000
12 2.166667
6 2.166667
13 1.615385
36 3.000000
46 3.608696
65 2.723077
86 3.523256
48 2.895833
54 3.555556
77 3.337662
1 3.000000
219 2.808219
107 3.046729
34 2.558824
27 2.444444
100 3.060000
49 2.408163
169 3.792899
157 3.356688
50 3.680000
69 2.188406
44 1.840909
87 3.149425
155 3.458065
16 3.500000
164 3.628049
91 3.648352
44 4.045455
13 2.923077
79 3.139241
40 3.425000
10 3.000000
102 3.676471
15 2.600000
10 4.000000
53 3.018868
19 3.578947
24 3.041667
137 3.992701
6 2.666667
70 3.928571
101 3.475248
104 4.028846
79 3.569620
1 4.000000
51 3.078431
72 3.611111
13 3.230769
87 3.275862
58 3.155172
82 2.817073
16 3.687500
29 2.413793
86 3.023256
54 3.444444
58 2.931034
34 3.147059
76 3.486842
16 2.750000
14 2.428571
63 3.460317
45 3.022222
81 3.481481
24 3.500000
39 3.153846
180 3.650000
15 3.200000
27 2.518519
137 3.854015
78 3.935897
59 2.983051
31 2.838710
164 3.323171
63 3.476190
58 3.448276
267 3.644195
39 1.948718
92 3.456522
16 3.875000
119 3.663866
102 3.460784
316 3.123418
51 3.176471
124 3.854839
180 3.427778
39 3.307692
24 3.708333
57 3.385965
96 3.312500
128 2.898438
4 2.750000
21 1.714286
11 2.181818
46 2.652174
44 3.045455
115 3.391304
149 3.389262
29 2.758621
32 2.812500
9 3.111111
11 2.181818
52 3.076923
42 2.452381
57 3.385965
41 2.634146
49 3.061224
17 2.941176
32 2.937500
26 2.769231
9 3.222222
4 1.250000
76 3.552632
31 2.548387
69 3.000000
84 3.333333
10 2.600000
37 2.729730
2 1.000000
39 3.153846
14 2.642857
13 3.230769
3 1.666667
47 3.574468
66 2.909091
10 2.500000
86 3.720930
10 3.500000
46 3.652174
21 2.428571
36 3.083333
31 3.096774
9 2.222222
5 3.200000
26 2.884615
16 2.812500
40 2.700000
9 2.555556
8 2.875000
27 3.629630
50 3.460000
9 2.777778
31 2.838710
43 2.906977
45 2.888889
18 3.944444
18 3.111111
56 3.892857
1 5.000000
112 3.232143
21 2.428571
3 2.666667
25 2.760000
40 2.700000
93 2.774194
22 3.045455
4 3.000000
82 2.878049
49 2.755102
83 3.036145
80 2.575000
57 2.771930
13 2.692308
34 2.647059
1 1.000000
91 2.461538
22 2.545455
49 3.204082
25 2.200000
15 3.866667
26 3.769231
25 3.920000
4 2.750000
4 2.500000
53 2.660377
48 2.750000
27 3.148148
30 3.000000
42 3.357143
176 3.465909
44 3.068182
55 3.727273
9 3.555556
53 2.716981
4 4.000000
4 3.750000
1 1.000000
14 3.857143
16 3.375000
66 3.727273
36 3.833333
1 3.000000
3 1.000000
15 2.666667
16 2.250000
3 2.333333
18 2.111111
24 3.916667
86 3.162791
21 3.476190
119 3.319328
6 4.000000
5 3.800000
24 3.000000
9 2.777778
75 2.400000
42 3.095238
81 2.962963
39 3.256410
53 2.735849
47 2.702128
52 2.538462
33 2.515152
136 3.272059
59 3.169492
45 2.933333
34 3.294118
13 3.230769
7 3.285714
13 2.230769
53 3.075472
64 3.609375
15 3.466667
13 3.384615
43 1.953488
6 2.666667
53 2.754717
14 2.428571
19 1.894737
106 3.216981
44 3.772727
2 1.500000
58 3.224138
9 3.444444
42 3.690476
12 1.916667
42 3.833333
18 3.111111
20 3.450000
27 3.222222
21 3.190476
2 2.000000
20 2.500000
13 3.769231
4 2.000000
4 2.500000
9 3.000000
2 2.500000
11 2.727273
13 3.923077
18 3.166667
7 3.428571
8 3.000000
96 3.791667
5 2.200000
46 3.978261
34 3.823529
58 4.155172
85 3.400000
34 3.323529
101 2.702970
6 3.166667
104 3.115385
40 2.700000
80 2.700000
57 2.157895
40 2.925000
21 2.428571
68 2.926471
7 3.285714
32 3.937500
37 3.405405
25 2.880000
60 3.600000
32 2.343750
46 3.065217
45 3.488889
