num_ratings average_rating
272 3.610294
62 3.709677
54 2.796296
24 4.333333
175 2.874286
211 3.635071
403 3.965261
59 3.796610
22 4.272727
184 4.206522
181 3.464088
51 4.392157
636 3.097484
98 4.091837
104 2.875000
140 4.328571
28 3.035714
277 3.880866
20 3.550000
48 3.104167
179 2.670391
128 3.351562
151 3.635762
68 4.323529
78 4.051282
107 2.943925
25 3.240000
79 3.721519
34 3.647059
43 3.767442
36 3.916667
41 3.317073
24 3.708333
20 4.050000
25 3.000000
20 3.800000
57 3.649123
121 3.719008
22 3.772727
35 2.885714
52 3.769231
183 3.726776
221 3.710407
151 3.649007
48 3.604167
27 4.111111
25 3.640000
66 3.787879
215 2.683721
24 3.541667
23 3.565217
56 4.267857
28 3.821429
65 3.692308
21 3.285714
187 3.641711
106 3.500000
154 3.837662
382 3.934555
208 4.086538
21 2.952381
232 3.301724
93 3.118280
200 3.585000
80 3.937500
38 3.473684
30 3.766667
34 3.029412
65 3.846154
131 3.465649
38 3.789474
137 3.817518
66 3.727273
39 3.641026
79 3.278481
82 3.560976
72 3.611111
21 3.380952
55 4.000000
29 3.758621
58 3.293103
168 3.071429
155 3.419355
68 3.852941
288 3.538194
23 3.521739
211 3.791469
21 3.952381
76 4.039474
300 4.223333
98 3.887755
388 3.244845
20 3.350000
400 3.657500
278 3.417266
56 4.267857
63 4.158730
27 3.592593
136 3.551471
59 3.067797
67 2.895522
216 2.615741
29 3.620690
111 2.666667
23 3.391304
64 3.765625
22 3.000000
33 3.575758
234 3.440171
133 3.045113
24 3.541667
46 3.695652
51 3.725490
48 3.604167
92 3.934783
143 3.006993
86 3.918605
71 4.661972
181 3.950276
26 3.576923
74 3.608108
61 3.983607
54 3.851852
24 3.500000
182 3.439560
45 3.533333
23 4.130435
184 3.663043
30 2.600000
353 3.985836
30 4.133333
22 3.772727
26 3.192308
25 3.640000
55 3.381818
35 4.342857
47 4.319149
51 4.274510
24 4.000000
21 3.428571
107 3.429907
33 3.636364
20 3.900000
206 3.674757
316 3.335443
29 3.620690
20 4.200000
65 4.000000
36 2.888889
32 3.843750
307 3.996743
106 4.320755
23 2.956522
51 3.960784
22 2.636364
37 3.729730
51 3.784314
173 3.803468
107 3.429907
120 3.916667
58 2.551724
42 3.595238
23 3.304348
63 4.126984
30 4.000000
20 3.550000
69 3.376812
69 3.333333
37 3.972973
22 3.772727
28 3.464286
27 3.185185
43 4.209302
177 3.581921
38 3.736842
63 3.698413
115 3.617391
273 3.681319
42 3.047619
63 3.936508
435 1.491954
28 3.857143
53 3.188679
251 3.661355
48 4.041667
92 3.413043
56 4.071429
112 3.767857
187 3.978610
59 3.322034
27 3.629630
35 3.514286
121 3.165289
305 2.963934
96 3.291667
39 3.615385
118 3.338983
181 3.276243
40 2.950000
216 4.032407
386 3.031088
20 2.800000
43 3.418605
42 3.452381
22 2.863636
64 2.171875
230 3.230435
33 3.787879
33 3.181818
132 4.060606
37 3.189189
25 3.920000
126 4.230159
128 3.898438
93 3.774194
131 3.801527
76 2.960526
53 3.603774
28 3.714286
22 3.772727
146 3.616438
387 3.049096
105 3.028571
141 2.992908
27 4.518519
50 3.800000
58 3.448276
21 3.142857
30 2.733333
133 3.849624
21 3.666667
93 3.903226
110 4.345455
480 3.122917
94 3.978723
124 3.475806
48 4.145833
29 3.275862
159 4.213836
24 3.750000
23 3.434783
20 4.450000
81 3.641975
238 3.651261
22 3.272727
195 2.928205
26 3.923077
56 3.571429
161 4.105590
122 3.786885
77 3.792208
21 4.428571
97 3.979381
159 3.050314
83 2.542169
207 3.990338
57 4.035088
23 3.739130
46 3.869565
24 4.041667
27 4.111111
160 3.168750
123 4.048780
120 4.216667
46 3.565217
23 3.260870
185 3.935135
328 2.942073
323 3.009288
138 4.333333
278 3.582734
51 4.333333
22 3.636364
71 4.056338
95 3.115789
518 3.465251
54 3.500000
23 4.260870
434 3.267281
258 3.577519
26 3.192308
22 3.500000
53 4.132075
47 3.553191
32 3.937500
288 3.711806
62 4.112903
75 3.880000
27 2.925926
150 3.353333
296 3.685811
124 4.225806
388 3.030928
150 3.466667
196 4.239796
147 4.176871
192 3.437500
127 4.031496
280 3.464286
20 3.750000
275 3.527273
21 2.428571
484 3.365702
26 3.384615
222 3.409910
32 3.781250
112 3.794643
397 3.758186
20 3.500000
21 3.857143
294 3.795918
223 4.381166
262 3.595420
245 3.677551
87 4.011494
75 3.360000
22 3.545455
174 3.706897
23 3.478261
154 3.720779
125 3.736000
51 4.176471
89 3.617978
66 4.348485
142 3.408451
187 3.326203
284 3.313380
283 3.431095
65 3.400000
147 4.496599
70 3.642857
183 4.153005
26 3.846154
333 3.519520
22 3.545455
130 2.961538
34 3.941176
75 4.000000
254 4.003937
44 4.159091
21 3.809524
201 3.437811
237 3.987342
190 3.668421
